url,name,cost_text,rooms,parking,desc
https://www.domain.com.au/213-150-clarendon-street-east-melbourne-vic-3002-17180246,"213/150 Clarendon Street, East Melbourne VIC 3002","$2,200","2 Beds, 2 Baths",1 Parking,JORDAN PALMA
https://www.domain.com.au/3007-35-spring-street-melbourne-vic-3000-16626386,"3007/35 Spring Street, Melbourne VIC 3000",$2200 per week,"3 Beds, 2 Baths",2 Parking,Ismaeel Hussain
https://www.domain.com.au/20-lesney-street-richmond-vic-3121-17127426,"20 Lesney Street, Richmond VIC 3121","$2,200.00","5 Beds, 3 Baths",1 Parking,* Unverified feature
https://www.domain.com.au/84-toorak-road-west-south-yarra-vic-3141-12004802,"84 Toorak Road West, South Yarra VIC 3141",$2200 pw Furnished,"3 Beds, 3 Baths",3 Parking,PROPERTY ID: 24674 (quote when calling)
https://www.domain.com.au/4-136-anderson-street-south-yarra-vic-3141-17008924,"4/136 Anderson Street, South Yarra VIC 3141",$2200 Per Week,"3 Beds, 3 Baths",1 Parking,Darren McMullin
https://www.domain.com.au/5-kingsley-street-elwood-vic-3184-17165226,"5 Kingsley Street, Elwood VIC 3184","$2,150.00","5 Beds, 3 Baths",2 Parking,Ashleigh Coutts
https://www.domain.com.au/189-new-street-brighton-vic-3186-17156236,"189 New Street, Brighton VIC 3186","$2,100.00","4 Beds, 2 Baths",3 Parking,Michelle Murray
https://www.domain.com.au/22-campbell-street-frankston-vic-3199-16672189,"22 Campbell Street, Frankston VIC 3199","$2,100 per week","3 Beds, 1 Bath",2 Parking,Phone Enquiry ID: 225243
https://www.domain.com.au/6-glenbrook-avenue-malvern-east-vic-3145-17148622,"6 Glenbrook Avenue, Malvern East VIC 3145","$2,100.00","5 Beds, 3 Baths",2 Parking,Danielle Crumblehulme
https://www.domain.com.au/1902-250-st-kilda-road-southbank-vic-3006-17051653,"1902/250 St Kilda Road, Southbank VIC 3006",$2050.00 Per Week,"2 Beds, 2 Baths",2 Parking,"A majestic two-bedroom residence, this luxurious sub penthouse. The proportions are spectacular. The views are equally stunning."
https://www.domain.com.au/350-beach-road-black-rock-vic-3193-16095207,"350 Beach Road, Black Rock VIC 3193","$1,990 Per Week","4 Beds, 3 Baths",3 Parking,* Unverified feature
https://www.domain.com.au/1-28-esplanade-esplanade-brighton-vic-3186-17185480,"1/28 Esplanade Esplanade, Brighton VIC 3186",$1995 Per Week,"3 Beds, 2 Baths",2 Parking,Megan Taylor
https://www.domain.com.au/1-28-esplanade-brighton-vic-3186-17038957,"1/28 Esplanade, Brighton VIC 3186",$1995 Per Week,"3 Beds, 2 Baths",2 Parking,The light and size will surprise you.
https://www.domain.com.au/78-glencairn-avenue-brighton-east-vic-3187-17181198,"78 Glencairn Avenue, Brighton East VIC 3187","$1,998 per week","4 Beds, 3 Baths",2 Parking,* Unverified feature
https://www.domain.com.au/702-368-smith-street-collingwood-vic-3066-17177056,"702/368 Smith Street, Collingwood VIC 3066","$2,000.00","3 Beds, 3 Baths",2 Parking,Jayde Cashion
