url,name,cost_text,rooms,parking,desc,schools
https://www.domain.com.au/157-keylana-drive-keysborough-vic-3173-17092167,"157 Keylana Drive, Keysborough VIC 3173","$1,000 per week","5 Beds, 3 Baths",2 Parking,"Coco Ma Real Estate is ecstatic to present the epitome of contemporary living at 157 Keylana Drive, Keysborough, where luxury meets functionality. Nestled in a vibrant community, this elegant house boasts proximity to quality schools such as Lighthouse Christian College, Haileybury College and Sirius College. It is also a stone's throw away from shopping centres such as Parkmore Shopping",N/A
https://www.domain.com.au/237-220-chapel-road-keysborough-vic-3173-17127719,"237/220 Chapel Road, Keysborough VIC 3173",$910,"5 Beds, 3 Baths",3 Parking,* Unverified feature,N/A
https://www.domain.com.au/77-chi-avenue-keysborough-vic-3173-17175745,"77 Chi Avenue, Keysborough VIC 3173",$850 per week,"4 Beds, 2 Baths",2 Parking,"Coco Ma Real Estate is thrilled to present 77 Chi Avenue, Keysborough, an impeccable family residence located in one of the area's most prestigious enclaves. With easy access to esteemed educational institutions such as Sirius College, Lighthouse Christian College, and Haileybury College, this property is perfect for families. Pencil Park and Keysborough South Shopping Centre are also just moments",N/A
https://www.domain.com.au/233-220-chapel-road-keysborough-vic-3173-17163157,"233/220 Chapel Road, Keysborough VIC 3173",$830,"4 Beds, 3 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/4-clinton-drive-keysborough-vic-3173-17131462,"4 Clinton Drive, Keysborough VIC 3173",830 per week pw,"4 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/1-15-raymond-street-noble-park-vic-3174-17149847,"1/15 Raymond Street, Noble Park VIC 3174",$830 per week,"4 Beds, 3 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/16-bremer-circuit-keysborough-vic-3173-17158247,"16 Bremer Circuit, Keysborough VIC 3173",$800,"4 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/1-1072-heatherton-road-noble-park-vic-3174-16443510,"1/1072 Heatherton Road, Noble Park VIC 3174",$800 Per Week,"4 Beds, 3 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/14-a-briggs-crescent-noble-park-vic-3174-17147229,"14/A Briggs Crescent, Noble Park VIC 3174",$780,"3 Beds, 2 Baths",4 Parking,* Unverified feature,N/A
https://www.domain.com.au/16-220-chapel-road-keysborough-vic-3173-17163223,"16/220 Chapel Road, Keysborough VIC 3173",$775,"4 Beds, 3 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/65-harrison-drive-noble-park-vic-3174-17154832,"65 Harrison Drive, Noble Park VIC 3174",$750.00,"4 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/1-6-mckay-court-dandenong-north-vic-3175-16525295,"1/6 Mckay Court, Dandenong North VIC 3175",$740 P/W $3215p/m,"4 Beds, 2 Baths",2 Parking,* Unverified feature,N/A
