,postcode,locality
6577,3156,LYSTERFIELD
6578,3156,LYSTERFIELD SOUTH
6579,3156,MOUNTAIN GATE
6580,3156,UPPER FERNTREE GULLY
6581,3158,UPWEY
6582,3159,MENZIES CREEK
6583,3159,SELBY
6584,3160,BELGRAVE
6585,3160,BELGRAVE HEIGHTS
6586,3160,BELGRAVE SOUTH
6587,3160,TECOMA
6588,3161,CAULFIELD JUNCTION
6589,3161,CAULFIELD NORTH
6590,3162,CAULFIELD
6591,3162,CAULFIELD SOUTH
6592,3162,HOPETOUN GARDENS
6593,3163,BOORAN ROAD PO
6594,3163,CARNEGIE
6595,3163,GLEN HUNTLY
6596,3163,MURRUMBEENA
6597,3164,DANDENONG SOUTH
6598,3165,BENTLEIGH EAST
6599,3165,COATESVILLE
6600,3166,HUGHESDALE
6601,3166,HUNTINGDALE
6602,3166,OAKLEIGH
6603,3166,OAKLEIGH EAST
6604,3167,OAKLEIGH SOUTH
6605,3168,CLAYTON
6606,3168,NOTTING HILL
6607,3169,CLARINDA
6608,3169,CLAYTON SOUTH
6609,3170,MULGRAVE
6610,3170,WAVERLEY GARDENS
6611,3171,SANDOWN VILLAGE
6612,3171,SPRINGVALE
6613,3172,DINGLEY VILLAGE
6614,3172,SPRINGVALE SOUTH
6615,3173,KEYSBOROUGH
6616,3174,NOBLE PARK
6617,3174,NOBLE PARK EAST
6618,3174,NOBLE PARK NORTH
6619,3175,BANGHOLME
6620,3175,DANDENONG
6621,3175,DANDENONG EAST
6622,3175,DANDENONG NORTH
6623,3175,DANDENONG SOUTH
6624,3175,DUNEARN
6625,3176,SCORESBY BC
6626,3177,DOVETON
6627,3177,EUMEMMERRING
6628,3178,ROWVILLE
6629,3179,SCORESBY
6630,3180,KNOXFIELD
6631,3181,PRAHRAN
6632,3181,PRAHRAN EAST
6633,3181,WINDSOR
6634,3182,ST KILDA
6635,3182,ST KILDA SOUTH
6636,3182,ST KILDA WEST
6637,3183,BALACLAVA
